ILSVRC2012_val_1.jpg | lens cap, lens cover | web site, website, internet site, site
ILSVRC2012_val_2.jpg | matchstick | barn
ILSVRC2012_val_3.jpg | matchstick | spotlight, spot
ILSVRC2012_val_7.jpg | church, church building | barn
ILSVRC2012_val_11.jpg | stage | cup
ILSVRC2012_val_12.jpg | ski | church, church building
ILSVRC2012_val_14.jpg | barn | park bench
ILSVRC2012_val_15.jpg | space shuttle | conch
ILSVRC2012_val_16.jpg | church, church building | tripod
ILSVRC2012_val_17.jpg | church, church building | stage
ILSVRC2012_val_18.jpg | folding chair | French horn, horn
ILSVRC2012_val_19.jpg | lemon | snowplow, snowplough
ILSVRC2012_val_21.jpg | bubble | umbrella
ILSVRC2012_val_22.jpg | tripod | barn
ILSVRC2012_val_23.jpg | analog clock | school bus
ILSVRC2012_val_24.jpg | ski | chain
ILSVRC2012_val_25.jpg | syringe | water bottle
ILSVRC2012_val_28.jpg | tripod | church, church building
ILSVRC2012_val_29.jpg | church, church building | analog clock
ILSVRC2012_val_30.jpg | barn | snowplow, snowplough
ILSVRC2012_val_31.jpg | snowplow, snowplough | ski
ILSVRC2012_val_32.jpg | barn | snowplow, snowplough
ILSVRC2012_val_33.jpg | seashore, coast, seacoast, sea-coast | tripod
ILSVRC2012_val_34.jpg | tripod | ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin
ILSVRC2012_val_35.jpg | tripod | conch
ILSVRC2012_val_38.jpg | barn | cup
ILSVRC2012_val_39.jpg | barn | umbrella
ILSVRC2012_val_40.jpg | barn | web site, website, internet site, site
ILSVRC2012_val_41.jpg | snowplow, snowplough | church, church building
ILSVRC2012_val_42.jpg | snowplow, snowplough | cello, violoncello
ILSVRC2012_val_43.jpg | stage | rule, ruler
ILSVRC2012_val_45.jpg | lighter, light, igniter, ignitor | tripod
ILSVRC2012_val_47.jpg | barn | water tower
ILSVRC2012_val_48.jpg | matchstick | church, church building
ILSVRC2012_val_49.jpg | snowplow, snowplough | ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin
ILSVRC2012_val_50.jpg | tripod | barn
ILSVRC2012_val_51.jpg | church, church building | barn
ILSVRC2012_val_52.jpg | screen, CRT screen | analog clock
ILSVRC2012_val_53.jpg | matchstick | lemon
ILSVRC2012_val_54.jpg | lighter, light, igniter, ignitor | slot, one-armed bandit
ILSVRC2012_val_55.jpg | traffic light, traffic signal, stoplight | matchstick
ILSVRC2012_val_56.jpg | church, church building | ski
ILSVRC2012_val_57.jpg | tripod | ski
ILSVRC2012_val_58.jpg | bubble | sea urchin
ILSVRC2012_val_59.jpg | tripod | church, church building
ILSVRC2012_val_60.jpg | barn | ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin
ILSVRC2012_val_62.jpg | fountain | church, church building
ILSVRC2012_val_63.jpg | ski | lampshade, lamp shade
ILSVRC2012_val_64.jpg | traffic light, traffic signal, stoplight | drum, membranophone, tympan
ILSVRC2012_val_66.jpg | snowplow, snowplough | chain saw, chainsaw
ILSVRC2012_val_68.jpg | conch | tripod
ILSVRC2012_val_72.jpg | ski | cello, violoncello
ILSVRC2012_val_73.jpg | matchstick | folding chair
ILSVRC2012_val_76.jpg | tripod | chain
