ILSVRC2012_val_1.jpg | bow | beacon, lighthouse, beacon light, pharos
ILSVRC2012_val_4.jpg | bow | web site, website, internet site, site
ILSVRC2012_val_6.jpg | web site, website, internet site, site | cowboy boot
ILSVRC2012_val_8.jpg | cowboy boot | stopwatch, stop watch
ILSVRC2012_val_9.jpg | cowboy boot | sunglass
ILSVRC2012_val_14.jpg | cowboy boot | sunglass
ILSVRC2012_val_15.jpg | chain | cowboy boot
ILSVRC2012_val_18.jpg | chain | beacon, lighthouse, beacon light, pharos
ILSVRC2012_val_20.jpg | chain | cowboy boot
ILSVRC2012_val_25.jpg | beacon, lighthouse, beacon light, pharos | toy terrier
ILSVRC2012_val_26.jpg | bloodhound, sleuthhound | Norwegian elkhound, elkhound
ILSVRC2012_val_28.jpg | chain | web site, website, internet site, site
ILSVRC2012_val_33.jpg | beacon, lighthouse, beacon light, pharos | stopwatch, stop watch
ILSVRC2012_val_35.jpg | chain | sunglass
ILSVRC2012_val_37.jpg | chain | cowboy boot
ILSVRC2012_val_39.jpg | bloodhound, sleuthhound | cowboy boot
ILSVRC2012_val_40.jpg | cowboy boot | chain
ILSVRC2012_val_42.jpg | cowboy boot | bloodhound, sleuthhound
ILSVRC2012_val_47.jpg | cowboy boot | Norwegian elkhound, elkhound
ILSVRC2012_val_52.jpg | chain | cowboy boot
ILSVRC2012_val_55.jpg | cowboy boot | chain
ILSVRC2012_val_57.jpg | chain | cowboy boot
ILSVRC2012_val_60.jpg | chain | cowboy boot
ILSVRC2012_val_61.jpg | chain | sunglass
ILSVRC2012_val_67.jpg | chain | analog clock
ILSVRC2012_val_75.jpg | stopwatch, stop watch | ballpoint, ballpoint pen, ballpen, Biro
ILSVRC2012_val_80.jpg | cowboy boot | Norwegian elkhound, elkhound
ILSVRC2012_val_81.jpg | doormat, welcome mat | cowboy boot
ILSVRC2012_val_85.jpg | chain | sunglass
ILSVRC2012_val_86.jpg | cowboy boot | Norwegian elkhound, elkhound
ILSVRC2012_val_90.jpg | cowboy boot | bloodhound, sleuthhound
ILSVRC2012_val_94.jpg | chain | beacon, lighthouse, beacon light, pharos
ILSVRC2012_val_101.jpg | bow | beacon, lighthouse, beacon light, pharos
ILSVRC2012_val_102.jpg | chain | cowboy boot
ILSVRC2012_val_108.jpg | bloodhound, sleuthhound | cowboy boot
ILSVRC2012_val_109.jpg | cowboy boot | black-footed ferret, ferret, Mustela nigripes
ILSVRC2012_val_111.jpg | cowboy boot | bloodhound, sleuthhound
ILSVRC2012_val_113.jpg | chain | cowboy boot
ILSVRC2012_val_116.jpg | tripod | dock, dockage, docking facility
ILSVRC2012_val_120.jpg | web site, website, internet site, site | Sussex spaniel
ILSVRC2012_val_121.jpg | cowboy boot | bloodhound, sleuthhound
